fecha_hora,modelo,input_tokens,output_tokens,costo_usd
2025-07-25 13:26:52,TOTAL_EJECUCION,14904,7033,0.180015
2025-07-25 15:40:13,TOTAL_EJECUCION,18369,6256,0.185685
2025-07-28 16:33:57,TOTAL_EJECUCION,18993,6121,0.18678
2025-07-28 16:38:13,TOTAL_EJECUCION,18993,6121,0.18678
2025-07-28 17:08:25,gpt-4o-mini,7265,2068,0.0023305500000000002
2025-07-29 10:49:04,gpt-4o-mini,3161,252,0.0006253499999999999
2025-07-29 11:29:27,gpt-4o-mini,3108,250,0.0006162
2025-07-29 15:57:06,gpt-4o-mini,7523,2998,0.00292725
2025-07-29 17:24:29,gpt-4o-mini,7145,2646,0.00265935
2025-07-29 17:35:35,gpt-4o-mini,7140,2002,0.0022722
2025-07-29 17:54:24,gpt-4o-mini,7142,2582,0.0026205
2025-07-29 22:32:16,gpt-4o-mini,7171,2608,0.00264045
2025-07-30 11:33:29,gpt-4o-mini,11710,4717,0.0045867
2025-07-30 11:42:39,gpt-4o-mini,11665,4130,0.00422775
2025-07-30 12:10:00,gpt-4o-mini,11834,4294,0.0043515
2025-07-30 13:57:49,gpt-4o-mini,20620,4151,0.0055836
2025-07-30 14:20:01,gpt-4o-mini,25562,16263,0.0135921
2025-07-30 15:19:23,gpt-4o-mini,678,86,0.0001533
2025-07-30 15:21:55,gpt-4o-mini,5112,2676,0.0023723999999999998
2025-07-30 15:25:41,gpt-4o-mini,5056,2511,0.002265
2025-07-30 15:29:59,gpt-4o-mini,15367,6245,0.006052049999999999
2025-07-30 16:44:01,gpt-4o-mini,14759,6759,0.00626925
2025-07-30 16:49:12,gpt-4o-mini,14785,7355,0.00663075
2025-07-30 16:53:01,gpt-4o-mini,15041,7036,0.00647775
2025-07-30 17:06:37,gpt-4o-mini,15373,6402,0.00614715
2025-07-31 10:52:03,gpt-4o-mini,14817,11850,0.009332549999999998
2025-07-31 11:14:30,gpt-4o-mini,15956,6945,0.006560399999999999
2025-07-31 11:27:13,gpt-4o-mini,16039,6074,0.00605025
2025-08-01 11:26:23,gpt-4o-mini,15734,7231,0.006698699999999999
2025-08-01 11:36:24,gpt-4o-mini,27605,16493,0.01403655
2025-08-01 18:06:40,gpt-4o-mini,33533,15505,0.01433295
2025-08-07 10:08:20,gpt-4o-mini,31976,16985,0.0149874
2025-08-07 10:48:21,gpt-4o-mini,32108,14133,0.013296
2025-08-07 15:47:36,gpt-4o-mini,3622,1343,0.0013491
2025-08-07 17:26:06,gpt-4o-mini,56371,18867,0.019775849999999998
2025-08-07 17:47:31,gpt-4o-mini,55065,22328,0.02165655
2025-08-07 18:02:01,gpt-4o-mini,108755,50814,0.04680164999999999
2025-08-08 16:25:33,gpt-4o-mini,123801,56101,0.05223075
2025-08-13 19:09:17,gpt-4o-mini,199440,42936,0.0556776
2025-08-13 19:15:45,gpt-4o-mini,199440,49634,0.0596964
2025-08-14 13:38:33,gpt-4o-mini,1229265,292881,0.36011835
2025-08-26 10:44:44,gpt-4o-mini,1233647,284383,0.35567685
2025-08-27 10:28:31,gpt-4o-mini,14477,2615,0.0037405499999999996
2025-08-28 12:55:40,gpt-4o-mini,6224272,1590619,1.8880121999999997
2025-08-28 13:03:17,gpt-4o-mini,219697,45700,0.06037455
2025-08-28 17:58:20,gpt-4o-mini,6599,905,0.0015328499999999999
